week_start,report_week,side,direction,rank,stock_name,stock_code,value_sgd_m
2023-07-10,10 July 2023,retail,buy,9,Geo Energy Resources,RE4,1.4126125
2023-07-10,10 July 2023,retail,buy,10,Raffles Medical Group,BSL,1.199723
2023-07-10,10 July 2023,retail,sell,1,Seatrium,S51,-99.36954310000002
2023-07-10,10 July 2023,retail,sell,2,DBS,D05,-58.893548
2023-07-10,10 July 2023,retail,sell,3,Singtel,Z74,-20.7015255
2023-07-10,10 July 2023,retail,sell,4,CapitaLand Investment,9CI,-17.69724
2023-07-10,10 July 2023,retail,sell,5,CapitaLand Ascendas REIT,A17U,-13.961949
2023-07-10,10 July 2023,retail,sell,6,SIA,C6L,-12.685942
2023-07-10,10 July 2023,retail,sell,7,Keppel Corporation,BN4,-11.274021
2023-07-10,10 July 2023,retail,sell,8,Wilmar International,F34,-11.018928
2023-07-10,10 July 2023,retail,sell,9,CapitaLand Integrated Commercial Trust,C38U,-10.562462
2023-07-10,10 July 2023,retail,sell,10,SGX,S68,-7.509142
2023-07-17,17 July 2023,institutional,buy,1,DBS,D05,15.04522500000001
2023-07-17,17 July 2023,institutional,buy,2,Hyphens Pharma International,1J5,10.6431178
2023-07-17,17 July 2023,institutional,buy,3,Keppel DC REIT,AJBU,10.563263
2023-07-17,17 July 2023,institutional,buy,4,Sembcorp Industries,U96,9.757971
2023-07-17,17 July 2023,institutional,buy,5,Singtel,Z74,7.579108400000002
2023-07-17,17 July 2023,institutional,buy,6,ComfortDelGro,C52,5.199536
2023-07-17,17 July 2023,institutional,buy,7,CapitaLand Integrated Commercial Trust,C38U,4.997975
2023-07-17,17 July 2023,institutional,buy,8,AEM Holdings,AWX,3.981126
2023-07-17,17 July 2023,institutional,buy,9,Wilmar International,F34,3.529635
2023-07-17,17 July 2023,institutional,buy,10,UMS Holdings,558,3.157801
2023-07-17,17 July 2023,institutional,sell,1,UOB,U11,-44.361267
2023-07-17,17 July 2023,institutional,sell,2,SIA,C6L,-27.125992
2023-07-17,17 July 2023,institutional,sell,3,Genting Singapore,G13,-16.0966185
2023-07-17,17 July 2023,institutional,sell,4,Seatrium,S51,-13.6383791
2023-07-17,17 July 2023,institutional,sell,5,Venture Corporation,V03,-13.538851
2023-07-17,17 July 2023,institutional,sell,6,Yangzijiang Shipbuilding,BS6,-12.018604
2023-07-17,17 July 2023,institutional,sell,7,Jardine Cycle & Carriage,C07,-11.122397
2023-07-17,17 July 2023,institutional,sell,8,CapitaLand Investment,9CI,-9.064745
2023-07-17,17 July 2023,institutional,sell,9,Hongkong Land,H78,-8.2865344895
2023-07-17,17 July 2023,institutional,sell,10,SGX,S68,-6.339687
2023-07-17,17 July 2023,retail,buy,1,SIA,C6L,24.348867
2023-07-17,17 July 2023,retail,buy,2,Venture Corporation,V03,14.871666
2023-07-17,17 July 2023,retail,buy,3,Genting Singapore,G13,14.837772
2023-07-17,17 July 2023,retail,buy,4,Yangzijiang Shipbuilding,BS6,7.050574
2023-07-17,17 July 2023,retail,buy,5,Jardine Cycle & Carriage,C07,6.032754
2023-07-17,17 July 2023,retail,buy,6,Hongkong Land,H78,5.6550435419
2023-07-17,17 July 2023,retail,buy,7,Seatrium,S51,4.4564578
2023-07-17,17 July 2023,retail,buy,8,CapitaLand Investment,9CI,4.35378
2023-07-17,17 July 2023,retail,buy,9,Manulife US REIT,BTOU,3.26598982549
2023-07-17,17 July 2023,retail,buy,10,Keppel REIT,K71U,2.840283
2023-07-17,17 July 2023,retail,sell,1,DBS,D05,-46.404861
2023-07-17,17 July 2023,retail,sell,2,OCBC,O39,-40.71071
2023-07-17,17 July 2023,retail,sell,3,UOB,U11,-23.04292
2023-07-17,17 July 2023,retail,sell,4,Sembcorp Industries,U96,-18.578301
2023-07-17,17 July 2023,retail,sell,5,Singtel,Z74,-11.2439794
2023-07-17,17 July 2023,retail,sell,6,Hyphens Pharma International,1J5,-10.6431178
2023-07-17,17 July 2023,retail,sell,7,Keppel DC REIT,AJBU,-6.145679
2023-07-17,17 July 2023,retail,sell,8,CapitaLand Integrated Commercial Trust,C38U,-5.979636
2023-07-17,17 July 2023,retail,sell,9,ComfortDelGro,C52,-5.757023
2023-07-17,17 July 2023,retail,sell,10,AEM Holdings,AWX,-5.234823
2023-07-24,24 July 2023,institutional,buy,1,DBS,D05,90.48972
2023-07-24,24 July 2023,institutional,buy,2,OCBC,O39,75.166597
