dataset,fetched_on,source,refresh_note
results_summaries,2026-08-13,Yahoo Finance quarterly income statements,Refresh after each SGX reporting season (Mar / Jun / Sep / Dec)
analyst_forecasts,2026-08-13,Yahoo Finance analyst estimates,Estimates are revised continuously; refresh alongside results
reporting_currency,2026-08-13,Yahoo Finance financialData,Rarely changes; refresh only if a ticker's figures look mis-scaled
