week_date,investor_type,overall_sgd_m,Consumer Cyclicals,Consumer Non-Cyclicals,Energy/Oil & Gas,Financial Services,Health care,Industrials,Materials & Resources,Real Estate (excl REITs),REITs,Technology (Hardware/Software),Telcos,Utilities
2023-06-12,institutional,-306.9440906202099,-12.93533364958,-13.4067278907,-1.1604562,-253.6359293,-0.880227735,26.84133654897999,0.02770339999999999,-18.6050787263,-34.68119526760999,27.846241,-31.32464999999999,4.9702272
2023-06-12,retail,-185.04537450861997,-2.81658614139,-7.585427258100003,-0.2087816000000002,-14.0303456,0.2623310336999997,-91.00009719673,-0.3079497,-0.4075278551999997,-11.5325950909,-26.2657254,-19.4269716,-11.7256981
2023-06-19,institutional,-9.480874917630006,2.452546446999999,-2.905895625600001,1.3407386,57.07380589999999,-1.3023060666,-3.595694279059999,-0.1961483000000001,-24.600561051,-35.64398524237,-18.2941406,30.6962899,-14.5055246
2023-06-19,retail,105.62416759223001,5.158703203629999,16.3444114046,0.1367191,-9.63020709999999,3.6506953119,-13.22226010617,0.4247674,34.6356442979,41.26034758037,21.382431,6.3391298,-0.8562143
2023-06-26,institutional,112.12907210536,4.953074642680002,11.627537726799996,-1.7777651,39.62980819999999,-0.3816972300000001,33.20620435728001,0.0123538,3.653041670399999,10.532361738200002,-1.4149542000000008,6.694764599999999,5.394341900000001
2023-06-26,retail,16.45089616661001,-8.70506452572,-8.368977057999999,0.36096389999999995,28.429099400000002,0.0829963680000001,-7.366116668879999,-3.9999999999901226e-06,10.8783368924,12.497347758810001,9.761872400000009,-3.1142794,-18.005278900000004
2023-07-03,institutional,-109.42700198053001,6.247713341400001,8.600597951600001,-2.9532739,-89.07391870000001,0.3208789936000002,11.73303171048,0.08540299999999998,12.2120447991,-45.10404867671,-4.021276899999999,8.935658199999999,-16.4098118
2023-07-03,retail,230.83521722953998,4.91265507704,-7.6358583457,2.4036218,182.3504434,-0.7084089076000001,-7.428660183820002,0.0777013,4.7188580825,35.09966780712,12.8799203,5.6279731,-1.4626962
2023-07-10,institutional,12.11239201633,-0.5295075289299999,11.2279902008,0.4625351000000003,-98.8830947,-3.325504433299999,90.67974758836999,-0.8432835000000001,6.8828730453,13.64870684409,-2.248487,-2.632083200000001,-2.3275004
2023-07-10,retail,-313.55948282657,-11.46320645507,-12.0001876454,-1.4877261,-74.47388690000001,3.434736841699999,-143.37695302599,0.8455102,-7.5251978557,-40.58464568611,-1.5890304,-21.8393322,-3.4995636
2023-07-17,institutional,-147.40349320272,-29.47793438488,0.4997945996999997,1.3195719,-50.33169349999999,5.267110166900002,-56.74335103297,-0.4107233,-14.6041538895,-12.45499896197,-6.513614599999999,5.973734900000002,10.0727649
2023-07-17,retail,-61.09450100583,23.83445349002,6.794035694000001,-1.3332186,-101.9973227,-6.638410153000001,31.51227575044,0.4671471,5.545944441899999,-1.04620992919,9.2215374,-10.2208926,-17.2338409
2023-07-24,institutional,142.15104882665997,-7.617900863500002,-10.3769082011,1.6714511,130.4701634,0.6165283141000002,27.60796196424,-0.2724552,-5.268258769200002,-9.506525417879999,-7.4188592,26.356942,-4.1110903
2023-07-24,retail,-376.49230600408,-8.25957275473,1.0282721746,-2.024874700000001,-278.1403746,0.1154207009999999,-50.99581062249,0.2241348999999999,-14.4178630678,-2.448434734659999,6.187999700000001,-31.5787593,3.8175563
2023-07-31,institutional,-204.80351971825993,-21.118483244089994,-5.3321153192000015,1.4653372999999998,6.984729600000006,3.0625613894,-17.8849752796,-0.08952759999999998,-3.322906113799998,-76.68203515097,-22.334147299999998,-69.2325479,-0.31941010000000064
2023-07-31,retail,131.52253203907998,22.738540748819997,8.2711306969,-1.0568925,-56.6296685,-2.4718924462000005,43.158527055429985,0.25895489999999993,-2.5527610192999997,54.27569790343,21.1242089,54.04904570000001,-9.6423594
2023-08-07,institutional,140.09762439936006,2.9188070659400034,-5.1107610018,1.2411537,149.48033730000003,-1.753023469,42.78762765816,-0.015440600000000002,-1.6093414557999997,-21.66960309814,-32.9923552,7.340758900000001,-0.5205354000000003
2023-08-07,retail,-20.59022447885001,-9.157385398490002,7.928484524100001,-1.7103662,-40.8456555,2.3287246125,-54.609837557649996,-0.23555520000000021,15.269877142100002,40.11498589858999,42.392905199999994,2.7041176,-24.770519599999997
2023-08-14,institutional,240.83292966281005,12.038425483249998,12.3889463763,-6.834130400000001,280.9647088,1.903329433,25.16170342032999,-0.07733599999999992,1.6941424870999984,-9.994611725169996,-15.672619012000006,-37.321566000000004,-23.4180632
2023-08-14,retail,350.8991239079599,13.851474095059995,12.057675195500003,8.472835799999999,90.43318419999999,-1.3584992435,55.85725128677999,0.20029639999999996,23.341709947499993,58.920605750619984,-2.0155676240000027,62.025764499999994,29.1123936
2023-08-21,institutional,147.90558565382,0.6501783669900001,10.1576736029,-0.2879402999999998,152.13338429999996,-2.5168708746,44.34660017184001,0.10583600000000001,-10.917573227800002,-11.36331378551,-15.414607399999998,-4.8409351,-14.1468461
2023-08-21,retail,157.48854018213999,13.05371015617,0.41203223900000063,0.3329452000000003,49.7639942,2.9057344973,-2.4317016773199853,-0.37281069999999994,17.467911172199997,38.10869135779,-3.0238108629999996,34.1632934,7.1085512
2023-08-28,institutional,-35.54188354764001,-17.23315589034001,3.258103076499999,-0.3038805000000002,-13.9691564,3.031244876,18.320994423599995,0.04889110000000002,-1.2729696903999987,-7.574245642999991,-66.2758305,-8.151750999999999,54.5798726
2023-08-28,retail,-46.81841252350997,11.991181459180002,-12.205613633299999,0.27300289999999977,-46.12320439999999,-3.6762142592999996,-26.558478480050002,0.078169,1.8022123202999996,13.521229969660007,-2.587155599999999,2.781062900000001,13.8853953
2023-09-04,institutional,21.322006708829967,9.417874966800001,6.887583333599999,0.49226540000000013,43.87634490000001,-2.9132965829,25.96011006256,0.15774879999999997,-1.2036075583000003,-25.094439012930007,-1.3234653000000014,-18.4085958,-16.5265165
2023-09-04,retail,100.09154223808001,-1.999222337100001,-3.0772757254000003,-0.7535136000000001,1.9268054000000001,3.2217434627000006,16.101870504420006,-0.2242757,4.0952292423,18.333153791159997,3.8832547,25.367367899999998,33.216404600000004
2023-09-11,institutional,-78.72781652322001,-28.93464742730001,-0.6456503220000003,0.9379125999999998,11.8892362,-3.3738655558,-24.44389412268,-0.7326436,-2.773904125899997,-12.655198469539995,2.8256019000000006,-21.877865,1.0571013999999996
2023-09-11,retail,-180.49913728516003,13.426278941240001,-8.039556049500002,-3.631739100000001,-188.64931010000004,3.7724029683,-1.572156279729997,0.8631953,-2.8027300407999998,10.735945175329997,-0.7836806000000003,-3.6537718999999997,-0.16401559999999982
2023-09-18,institutional,-163.71868021320003,-4.553719584790002,-15.0145888178,0.5066916000000001,-87.1189441,-0.20403040329999997,-43.08507618633,-0.38889369999999995,-15.0803785613,-36.81504375968001,-3.7721161000000016,34.61134310000001,7.1960763
2023-09-18,retail,237.87958510279992,13.819239170020003,12.0230550508,-2.8613995999999986,97.30724479999999,1.2648852755,59.18336751968,0.366077,24.0380383656,41.35324102119999,10.3837425,-20.4704262,1.4725202
2023-09-25,institutional,144.44842935736003,5.211610928940002,14.4837641517,-1.8858075000000003,165.05624990000004,1.1490314702000002,3.213304716929996,0.125649,-2.6816267115999994,-29.692856198810002,-14.700586000000005,4.2305468999999984,-0.06085129999999977
2023-09-25,retail,67.97400726677999,5.361253714709998,-19.3556354087,0.13123319999999938,-4.1006594,0.04692172270000006,22.627288746639998,-0.06227440000000001,6.097034496699999,43.22826209473,8.9140731,-0.9538775000000013,6.0403869
2023-10-02,institutional,144.84124317078,-1.8581999947200014,-22.314237888599997,-2.8494550000000003,210.6616847,0.29000022239999995,-1.1049432377200072,0.6625475000000001,0.7391810835999998,-65.96831611418,11.3748656,11.713479499999998,3.4946368
2023-10-02,retail,275.70935251401,14.11497329744,22.445782098699997,9.6191664,25.646702599999998,1.0598759370000002,75.23750679442,-0.3388578,11.370702949000002,99.59539593745001,-7.965815299999996,13.1961678,11.7277518
2023-10-09,institutional,-52.91128186585001,3.1019128047199986,-24.004971338900003,-2.7242845000000004,-0.8285925999999997,-0.5267962317,15.977366257330003,1.2609253999999999,-5.9345909507,-26.174498206600003,17.60557890000001,-17.327061300000008,-13.3362701
2023-10-09,retail,-186.02939182351994,-7.887513213760004,10.451220000200003,2.7989211000000003,-153.12450949999996,0.8805455364999999,-25.49828379086,-1.1522995,-7.890086645100003,14.497756989500001,-21.241794199999994,-4.283994600000001,6.420646
2023-10-16,institutional,-230.04979074089,3.6720552209599986,-0.5177784251999991,-1.8743584999999998,-42.6093325,-0.1004407078000001,-78.92983710776004,-4.781980000000001,-13.304538296599999,-95.47232182448997,3.171494000000001,-5.323296600000001,6.020544
2023-10-16,retail,342.82862871366007,11.163191415760002,11.6395441055,3.5731652,92.17621659999999,1.2136701095999998,80.40871929008003,2.5749518,26.100375062,103.52027993071997,9.1873211,12.7024939,-11.4312998
2023-10-23,institutional,-74.59445580957,11.182240698990004,-5.0715706209,-1.5335478,-67.8858471,-1.0631756261,14.131466805770014,-0.4658220999999999,-5.755879087900001,-38.904940379430016,7.766745899999999,10.7079492,2.2979243
2023-10-23,retail,238.52332180083,-10.727013804260006,3.4674393130000003,2.7291263,163.0738532,0.8015424779,16.412981773789998,1.4901561999999997,20.673555477,48.40557196340001,-8.893872199999999,2.1426621999999997,-1.0526811
2023-10-30,institutional,-175.18423139683,-12.594790679929998,14.966478512000002,-0.9715949000000003,-186.812497,-0.7435149056,-16.684734363109996,-2.694553400000001,-0.34897128150000106,-3.7738023786900006,25.97449410000001,9.2609689,-0.761714
2023-10-30,retail,-14.901679830820019,3.2760547706900005,-13.4077689643,-0.3983759,24.317907999999996,-0.11928996919999986,23.769555975169997,3.2643694,-8.169570983600005,0.8096265404200005,-24.116486500000008,-21.562557299999998,-2.5651449000000004
2023-11-06,institutional,-348.78370972871994,-14.766528904470002,-6.296873039399999,-3.590189,-85.2605468,-9.6304048598,-124.63580817775,-3.6440925000000006,-18.7105719846,-47.2601795627,7.580102700000002,-46.203189499999986,3.6345718999999996
2023-11-06,retail,211.78449305869003,6.03572493899,-0.3365646690000002,6.3098073,8.814228600000003,10.7307085244,92.98488241064,3.9183601000000006,21.9375941335,12.137037620160003,2.8233188000000005,54.2183813,-7.7889859999999995
