stock_code,period,end_date,eps_estimate,revenue_estimate_m,num_analysts
P34,+1y,2027-12-31,0.06102,536,4
P34,0y,2026-12-31,0.05325,516,4
P8Z,+1y,2027-12-31,2214.7048,24761400,5
P8Z,0y,2026-12-31,2176.315,24168361,5
S58,+1y,2028-03-31,0.2502,7132,6
S58,0y,2027-03-31,0.21888,6828,5
S59,+1y,2028-03-31,0.18189,1670,4
S59,0y,2027-03-31,0.15433,1546,3
S63,+1y,2027-12-31,0.38646,15039,13
S63,0y,2026-12-31,0.33801,13587,13
S68,+1y,2028-06-30,0.83362,1767,12
S68,0y,2027-06-30,0.77816,1672,12
T82U,+1y,2027-12-31,0.07023,493,11
T82U,0y,2026-12-31,0.06782,481,11
U10,+1y,2027-12-31,0.32337,893,3
U10,0y,2026-12-31,0.30246,831,3
U11,+1y,2027-12-31,3.58477,14821,13
U11,0y,2026-12-31,3.3489,14037,13
U14,+1y,2027-12-31,0.60499,2769,9
U14,0y,2026-12-31,0.54114,2753,9
U96,+1y,2027-12-31,0.62534,10445,6
U96,0y,2026-12-31,0.53275,7902,4
UIBU,+1y,2027-03-31,0.059,130,4
ULG,+1y,2027-12-31,0.08733,212,3
ULG,0y,2026-12-31,0.07533,180,3
V03,+1y,2027-12-31,0.91825,2883,10
V03,0y,2026-12-31,0.85835,2722,10
Y92,+1y,2027-09-30,1.14917,349707,11
Y92,0y,2026-09-30,1.08746,336893,11
Z74,+1y,2028-03-31,0.21915,15483,16
Z74,0y,2027-03-31,0.18728,14977,15
